"area_atu","canal_resumo_atualizado","receita"
"FALCON","TECH","3540.780000000001"
"FALCON","GESTOR","203.11"
"EXP FRANQUIAS","TECH","0.0"
"EXPANSÃO","WHATSAPP","104.0"
"FALCON","OUTROS","164.44"
"CONCESSÃO","CROSSELING","16437.649999999998"
"CONCESSÃO","PORTAL DE VENDAS DIGITAL","560.95"
"EXP FRANQUIAS","OUTROS","203.9"
"EXPANSÃO","DEALER","344297.5299999996"
"CONCESSÃO","DIGITAL EMPRESAS","48978.520000000026"
"EXPANSÃO","PORTAL DE VENDAS DIGITAL","2742.7800000000007"
"EXPANSÃO","ON","66385.96"
"FALCON","ON","860.79"
"FALCON","CROSSELING","534.01"
"EXPANSÃO","CROSSELING","14865.039999999999"
"FALCON","DEALER","28687.040000000008"
"EXPANSÃO","OUTROS","7251.919999999999"
"CONC FRANQUIAS","OUTROS","7277.92"
"EXPANSÃO","GESTOR","124.9"
"CONCESSÃO","FARMER","52.440000000000005"
"EXP FRANQUIAS","DEALER","275.08000000000004"
"EXPANSÃO","HUNTER","587.9"
"CONCESSÃO","HUNTER","80.91000000000001"
"NÃO CLASSIFICADO","OUTROS","0.0"
"CONCESSÃO","TECH","21230.27"
"EXPANSÃO","TECH","31592.220000000012"
"FALCON","DIGITAL EMPRESAS","14454.899999999996"
"FALCON","PORTAL DE VENDAS DIGITAL","416.14"
"CONCESSÃO","ESPECIALISTA","0.0"
"CONCESSÃO","OUTROS","89065.12000000004"
"CONCESSÃO","DEALER","56426.79000000003"
"EXPANSÃO","DIGITAL EMPRESAS","206601.89999999962"
"CONCESSÃO","ON","27625.720000000005"
"CONCESSÃO","WHATSAPP","4022.0200000000004"
"CONC FRANQUIAS","DEALER","4901.410000000001"
